Preguntas	Categorías	Subcategorías
1	lex	lex
2	lex	lex
3	lex	lex
4	lex	lex
5	lex	lex
6	lex	lex
7	lex	lex
8	lex	lex
9	lex	lex
10	lex	lex
11	lex	lex
12	lex	lex
13	lex	lex
14	lex	lex
15	lex	lex
16	caso	caso
17	caso	caso
18	caso	caso
19	caso	caso
20	caso	caso
21	caso	caso
22	caso	caso
23	caso	caso
24	caso	caso
25	caso	caso
26	caso	caso
27	caso	caso
28	caso	caso
29	caso	caso
30	caso	caso
31	aspecto	aspecto
32	aspecto	aspecto
33	aspecto	aspecto
34	aspecto	aspecto
35	aspecto	aspecto
36	aspecto	aspecto
37	aspecto	aspecto
38	aspecto	aspecto
39	aspecto	aspecto
40	aspecto	aspecto
41	aspecto	aspecto
42	aspecto	aspecto
43	aspecto	aspecto
44	aspecto	aspecto
45	v.mov	v.mov.asp
46	v.mov	v.mov.asp
47	v.mov	v.mov.asp
48	v.mov	v.mov.asp
49	v.mov	v.mov.asp
50	v.mov	v.mov.asp
51	v.mov	v.mov.asp
52	v.mov	v.mov.asp
53	v.mov	v.mov.asp
54	v.mov	v.mov.lex
55	v.mov	v.mov.lex
56	v.mov	v.mov.lex
57	v.mov	v.mov.lex
58	v.mov	v.mov.lex
59	v.mov	v.mov.lex
60	o.com 	o.com.kotory
61	o.com 	o.com.kotory
62	o.com 	o.com.kotory
63	o.com 	o.com.kotory
64	o.com 	o.com.causa
65	o.com 	o.com.causa
66	o.com 	o.com.causa
67	o.com 	o.com.chtoby
68	o.com 	o.com.chtoby
69	o.com 	o.com.chtoby
70	o.com 	o.com.chtoby
71	o.com 	o.com.esli/li
72	o.com 	o.com.esli/li
73	o.com 	o.com.esli/li
74	o.com 	o.com.esli/li
75	aspecto	aspecto
