id	x	y	cluster	weight<Links>	weight<Total link strength>
1	-0.4254	-0.2525	4	52	186
10	-0.5189	0.1874	2	59	290
11	-0.7292	0.2257	2	55	262
12	-0.1864	-0.559	4	60	396
13	0.0243	0.0803	1	70	455
14	0.5844	0.374	1	59	294
15	0.6526	-0.0749	4	35	92
16	-0.1241	-0.0616	4	54	237
17	-0.661	-0.101	2	60	269
18	-0.1959	0.1403	2	66	371
19	0.7238	-0.5396	3	34	86
2	-0.0116	-0.5358	3	62	472
20	0.9163	0.8192	1	13	26
21	0.4236	-0.4524	3	56	255
22	0.572	0.6664	1	55	216
23	0.0629	-0.6907	3	62	410
24	-0.1302	-0.745	3	61	432
25	-0.2091	-1.1426	3	15	38
26	-0.379	0.2881	2	58	196
27	0.1492	-1.1249	3	20	48
28	0.1637	0.9003	1	21	42
29	0.7223	-0.7068	3	25	53
3	-1.0528	0.4024	2	23	46
30	-0.2514	-0.2751	2	68	438
31	0.1024	0.2376	1	60	289
32	-0.4118	0.4727	2	60	229
33	-0.208	0.5362	1	49	154
34	0.465	-0.0545	4	52	244
35	-0.1398	0.3536	2	41	127
36	0.332	0.1194	4	34	82
37	0.0147	-1.0669	3	25	67
38	0.7138	-0.2842	4	27	67
39	0.5664	-0.3607	4	48	172
4	0.2605	-0.4893	3	55	300
40	-0.6852	-0.5077	4	23	46
41	0.0019	0.6715	1	53	179
42	-0.0546	-0.2403	3	59	270
43	0.2455	0.85	1	32	71
44	0.3505	-0.1756	4	54	302
45	-0.6045	-0.7764	5	32	94
46	0.0846	-0.1625	3	70	433
47	-0.4798	-0.0725	2	65	301
48	0.344	-0.9988	3	36	156
49	-0.1346	0.8405	1	23	46
5	-0.2795	0.0111	2	66	394
50	0.2077	-0.8559	3	44	163
51	1.3286	0.0977	5	3	6
52	0.2161	0.4185	1	51	210
53	0.3859	-0.7043	3	55	271
54	-0.5378	-0.4181	4	49	177
55	0.1823	0.0116	1	70	489
56	0.3752	0.5775	1	61	266
57	0.0226	0.4247	1	69	348
58	0.8795	0.1661	5	62	347
59	-0.6293	0.5406	2	23	50
6	-0.8394	0.0263	2	52	186
60	0.5495	0.1423	5	71	455
61	0.1732	-0.3306	5	68	483
62	-1.0077	0.3443	2	34	82
63	-0.4145	-0.5132	4	35	89
64	0.9042	0.8086	1	13	26
65	0.901	0.8245	1	13	26
66	-1.0963	0.3996	2	23	46
67	0.5971	-0.8403	3	32	97
7	-0.7238	-0.4192	4	39	115
70	-0.9234	0.2084	2	49	156
71	0.7364	0.4989	1	55	228
72	0.6969	0.7632	1	50	153
73	0.3599	0.3026	1	43	151
74	-0.4278	0.6676	1	39	103
75	-0.5903	0.339	2	59	222
8	-0.8488	0.4363	2	44	128
9	-1.081	0.3574	2	23	46
